Company	Website url	Social url	Town	Industry	Main Tier	Sub tier	Date Added
272BIO Ltd	https://duckduckgo.com/y.js?ad_provider=bingv7aa&u3=https://www.bing.com/aclick?ld=e8-hyJHO2PcKUiNO1iDMqZxjVUCUwwWeWO2Sj3sZAfD2af5DsKbPoJEsQN-qHxCEtHJl1nGiA7OVHAnmXszOoSlCFszSTDHBA9sIczwPijL_lrQtXa6XcTanStLYqWqPmHNbgTNb7FmAcWve279iUm1dEhDF6ewsKaZqSEfaiW_vRWzHiNQjhHHQwH45G7xZUtO0Fk9A&u=aHR0cCUzYSUyZiUyZnd3dy5hbWF6b24uY28udWslMmZzJTJmJTNmaWUlM2RVVEY4JTI2a2V5d29yZHMlM2R1Y2tmaWVsZCUyNnRhZyUzZG1oMGE5LTIxJTI2aW5kZXglM2RhcHMlMjZodmFkaWQlM2Q4MDg4MjkzNzY2OTY2NCUyNmh2cW10JTNkcCUyNmh2Ym10JTNkYnAlMjZodmRldiUzZGMlMjZyZWYlM2RwZF9zbF8yc3FxY25hZm1zX3A&rlid=72fa5e24b5f61017f7b13e0a09237800&vqd=3-311006392989846087856590726578034063518-329409387351137351508890881907224397584&iurl={1}IG=5C0BD08C4C2D4270AE6C0C43A168BB41&CID=1E8D359CD779649A38CA3A7ED6D2654F&ID=DevEx,5664.1		Uckfield	Scientific Research	Worker (A rating)	Skilled Worker	18/02/2021
29 Forward Ltd	https://www.sas.com/en_us/partners/find-a-partner/all-partners/11429.html		London	Computer Programming	Worker (A rating)	Skilled Worker	10/02/2020
29 Stoney Street LLP	https://www.mitchellwilde.com/		Nottingham	Others	Worker (A rating)	Skilled Worker	13/05/2021
2CV Ltd	https://www.2cv.com/		London	Advertising	Worker (A rating)	Skilled Worker	22/12/2013
2DAYUK LIMITED	http://www.hoovers.com/company-information/cs/company-profile.2dayuk_ltd.458c136112f657b7.html		St. Ives	Others	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	28/03/2019
2-DTech Ltd.	https://www.2-dtech.com/		Manchester	Management	Worker (A rating)	Skilled Worker	03/03/2015
2Excel Aviation Ltd	https://www.2excelaviation.com/		Sywell	Others	Worker (A rating)	Skilled Worker	04/08/2013
2H Offshore Engineering Ltd	https://2hoffshore.com/		Woking	Mining and Quarrying	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	04/08/2013
2M Automation Ltd	http://2m-automation.co.uk/		Oldham	Management	Worker (A rating)	Skilled Worker	26/06/2019
2MS CONSTRUCTION LTD	http://www.2msconstruction.com/		Newmarket	Construction	Worker (A rating)	Skilled Worker	30/12/2020
2MZ Ltd	http://www.2mz.co.uk/		London	Manufacturing	Worker (A rating)	Skilled Worker	05/07/2019
2R Capital Investment Management Limited	https://2rcapitalim.com/		London	Management	Worker (A rating)	Skilled Worker	12/08/2019
2S Limited	https://www.kompany.co.uk/p/uk/11565027		London	Management	Worker (A rating)	Skilled Worker	21/01/2020
3 Heads Agency	https://3headsagency.com/		Bedford	Advertising	Worker (A rating)	Skilled Worker	15/02/2021
3 Sided Cube (UK) Ltd	https://r.search.yahoo.com/cbclk2/dWU9OTVDQTJEODcwRjM0NEM3NyZ1dD0xNjI3NTM3MzUxMjk4JnVvPTgwNzQ1NDkzNjAyODU5Jmx0PTImcz0xJmVzPTAuVUdaQXdHUFM5Q192d1lET0c0TzVjdWNoQjNwcTNvdVVFU05fMlk-/RV=2/RE=1627566151/RO=10/RU=https://www.bing.com/aclick?ld=e8C4BPZCEmUCOxmt56pWWFkTVUCUxZR2YeCj_Wm-ikZzz-wEOByOfxdunKvZOr1cUC8j90rZV4Ed2yqE2tsdS8voxfNl3nB_GSxtLsCAevoC6hL5IGG69me9vkmcH8oRc6ulSmhyUybhmnoeyltonn2ua6HeVhXQRCe4mT0t2QG2-7SJ1rU-p84A3j1oy4DcTg7aNBjw&u=aHR0cCUzYSUyZiUyZnd3dy5hbWF6b24uY28udWslMmZzJTJmJTNmaWUlM2RVVEY4JTI2a2V5d29yZHMlM2RzdG9yYWdlJTJiY3ViZSUyYjMlMjZ0YWclM2RtaDBhOS0yMSUyNmluZGV4JTNkYXBzJTI2aHZhZGlkJTNkODA3NDU0OTM2MDI4NTklMjZodnFtdCUzZHAlMjZodmJtdCUzZGJwJTI2aHZkZXYlM2RjJTI2cmVmJTNkcGRfc2xfMmExcmVlN3Bpc19wJTI2dGFnJTNkbWgwYTktMjElMjZyZWYlM2RwZF9zbF8yYTFyZWU3cGlzX3AlMjZhZGdycGlkJTNkMTI5MTkyNjUxNTU1MTY5MyUyNmh2YWRpZCUzZDgwNzQ1NDkzNjAyODU5JTI2aHZuZXR3JTNkbyUyNmh2cW10JTNkcCUyNmh2Ym10JTNkYnAlMjZodmRldiUzZGMlMjZodmxvY2ludCUzZDE4OCUyNmh2bG9jcGh5JTNkMTMzNjAxJTI2aHZ0YXJnaWQlM2Rrd2QtODA3NDU2MTEwNDQxNTklM2Fsb2MtMTg4JTI2aHlkYWRjciUzZA&rlid=792b03d4884e1fa5ca2c62d6b789ea88/RK=2/RS=JgNpDepTAJah9M6p2ehW8iow.RM-;_ylc=cnQDMQ--?IG=481e25a1fe2940798400000000fe93ef		Bournemouth	Computer Programming	Worker (A rating)	Skilled Worker	28/07/2021
3 SPIRIT ENTERPRISE UK LIMITED	https://find-open.co.uk/hemel-hempstead/3-spirit-enterprise-uk-limited-2149821		Hemel Hempstead	Education	Worker (A rating)	Skilled Worker	22/04/2020
3 star healthcare Ltd	https://mychoice.leicester.gov.uk/Services/2495/3-Star-Healthcare-Li		Leicester	Social Work	Worker (A rating)	Skilled Worker	22/04/2021
3 TIMES LIMITED	https://www.gbrbusiness.com/company/3-Times-Limited		East Horsley	Video or Music Production	Temporary Worker (A rating)	Creative & Sporting	12/09/2019
3 Way Displays Lts	https://www.3waydisplays.com/		Chesham	Others	Worker (A rating)	Skilled Worker	21/03/2019
3 Way Healthcare Limited	https://www.3way-healthcare.co.uk/		Reading	Dental	Worker (A rating)	Skilled Worker	25/07/2019
3 Wise Bears Ltd	https://www.3wisebears.co.uk/		London	Others	Worker (A rating)	Skilled Worker	10/08/2021
313 Vision Care Ltd	https://www.checkfree.co.uk/Company/10250935/313-VISION-CARE-LTD/Company-Details/		Fordingbridge	Social Work	Worker (A rating)	Skilled Worker	19/04/2021
33Seconds Ltd	http://33seconds.co/		London	Wholesale & Retail	Worker (A rating)	Skilled Worker	01/09/2015
34SP.com Limited	https://www.34sp.com/		Manchester	Computer Programming	Worker (A rating)	Skilled Worker	26/11/2018
36 South Capital Advisors LLP	http://36south.com/		London	Others	Worker (A rating)	Skilled Worker	04/06/2014
360 energy	https://www.360-energy.co.uk/		Craigavon	Wholesale & Retail	Worker (A rating)	Skilled Worker	23/11/2020
360 health ltd	https://www.cqc.org.uk/provider/1-906329347/services		london	Social Work	Worker (A rating)	Skilled Worker	15/11/2019
360 Leaders Ltd	https://360leaders.com/		London	Recruitment	Worker (A rating)	Skilled Worker	29/04/2021
360 Recruitment Limited	https://360rec.co.uk/		Nottingham	Recruitment	Worker (A rating)	Skilled Worker	17/07/2020
360Globalnet Ltd	https://www.360globalnet.com/en		Whyteleafe	Management	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	04/08/2013
365 Childminding Ltd	https://www.365childminding.co.uk/#!		Luton	Education	Worker (A rating)	Skilled Worker	05/05/2016
365Ab Ltd	https://www.365ldn.com/		Lonodn	Food & Accomodation	Worker (A rating)	Skilled Worker	15/02/2021
38 Degrees	https://home.38degrees.org.uk/		London	Others	Worker (A rating)	Skilled Worker	04/08/2013
38 Entertainment Group Ltd	https://38entertainmentgroup.com/		London	Advertising	Worker (A rating)	Skilled Worker	23/02/2021
383 Project	https://383project.com/		Birmingham	Others	Worker (A rating)	Skilled Worker	17/02/2018
3AB CARE LIMITED	https://www.3abcare.co.uk/		Chipping Sodbury	Medical	Worker (A rating)	Skilled Worker	04/08/2013
3B Data Security Ltd	https://opencorporates.com/companies/gb/10353328		Sawston	Computer Programming	Worker (A rating)	Skilled Worker	07/06/2019
3B DIGITAL LTD	https://www.3bweb.com/		LONDON	Computer Programming	Worker (A rating)	Skilled Worker	04/08/2013
3CS Holdings PLC	https://www.dnb.com/business-directory/company-profiles.3hr_public_limited_company.5620ee61cd6c09d1fa5a9d6c4bfe0357.html		London	Management	Worker (A rating)	Skilled Worker	25/06/2020
3D Industries Ltd	https://index.co/company/3dindustries		London	Others	Worker (A rating)	Skilled Worker	27/03/2019
3d Innovations Limited	http://3di-ltd.com/		London	Computer Programming	Worker (A rating)	Skilled Worker	10/01/2014
3-D Matrix UK Limited	https://3dmatrix.com/contact/		London	Others	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	17/06/2020
3D Repo Limited	https://3drepo.com/		London	Computer Programming	Worker (A rating)	Skilled Worker	06/05/2020
3D Systems Europe Ltd	https://www.3dsystems.com/		Hemel Hempstead	Wholesale & Retail	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	04/08/2013
3DC Ltd	https://www.companysearchesmadesimple.com/company/uk/10903009/3dc-ltd/		London	Others	Worker (A rating)	Skilled Worker	25/04/2019
3EN Cloud Ltd	https://3en.cloud/		Holywood	Others	Worker (A rating)	Skilled Worker	15/02/2021
3ES Accountants Limited	https://r.search.yahoo.com/cbclk2/dWU9MDIzMTFCQjZFQzA4NDMxOSZ1dD0xNjE3MjE0NTMyNTM1JnVvPTc1MTc5MTMyNDc3NjE5Jmx0PTImcz0xJmVzPW5MS25MUmtHUFMuZzczam10VXNDYXhxUkUuRXpzSnR0bW1LUnhZY1B0QS0t/RV=2/RE=1617243332/RO=10/RU=https://www.bing.com/aclick?ld=e8PmmFXZXyaP9daMk6j0QcwjVUCUxaig-SJaEuRfVlAmdUf12CM2qzLSidA_lnBaTKZKPeuSQucfF5cS6TpNf7GAVnTaH3wMRRRPFkcTYx48OAtcqUYbrDof2xdvDP0J9kpcqmdTvs33mSE0DiL7SoAUmf9cXrgFFKrHV9h_9FRpQEZBP7pWd536iSpjw0USLrirRQRA&u=aHR0cHMlM2ElMmYlMmZhY2NvdW50aW5ncXVvdGVzLmNvLnVrJTJmZmluZC1hY2NvdW50YW50JTJmJTNmZW5naW5lJTNkYmluZ2FkcyUyNmNhbXBhaWduJTNkOTE4MTEwOTMlMjZhZF9ncm91cCUzZDEyMDI4NjU4NjYzNTg2NTIlMjZtYXRjaF90eXBlJTNkYiUyNmRldmljZSUzZGMlMjZjcmVhdGl2ZSUzZDc1MTc5MTMyNDc3NjE5JTI2cXVlcnklM2QzRVMlMjUyMEFjY291bnRhbnRzJTI1MjBMaW1pdGVkJTJjSGFycm93JTI2a2V5d29yZCUzZCUyNTJCQWNjb3VudGFudHMlMjUyMCUyNTJCSGFycm93JTI2bXNjbGtpZCUzZGM5MjhkZTdiNTY0YzFkODE1YjBmYmUxZmVhMDgyMWMyJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkQWNjb3VudGluZyUyNTIwJTI1N0MlMjUyMFJlc3QlMjUyMG9mJTI1MjBVSyUyNnV0bV90ZXJtJTNkJTI1MkJBY2NvdW50YW50cyUyNTIwJTI1MkJIYXJyb3clMjZ1dG1fY29udGVudCUzZEFyZWElMjUyMC1pbiUyNTIwQk1NJTI1MjAlMjU3QyUyNTIwQWNjb3VudGFudHM&rlid=c928de7b564c1d815b0fbe1fea0821c2/RK=2/RS=u7rzf90fZz._l4WXsJtAUOAZSxg-;_ylc=cnQDMQ--?IG=0ac4d71539af469f8600000000fc96fc		Harrow	Legal	Worker (A rating)	Skilled Worker	31/03/2021
3F BIO LTD	http://www.3fbio.com/		Glasgow	Scientific Research	Worker (A rating)	Skilled Worker	22/10/2018
3H Partners Limited	https://3hpartners.com/		London	Administrative and support	Worker (A rating)	Skilled Worker	07/12/2017
3i plc	https://r.search.yahoo.com/cbclk2/dWU9NEJGMzQxQjg3MUVDNEQwMCZ1dD0xNjEzMzkzNTE1NjY5JnVvPTcyOTExNTM5OTc2MTEzJmx0PTImcz0xJmVzPTlTTWhLaVFHUFMucy5SMks3NF9BUm01YmJwT2xKdnFZUURhVkRWQnU-/RV=2/RE=1613422316/RO=10/RU=https://www.bing.com/aclick?ld=e8DWB736n7IqASVv5lZ2tpwzVUCUzXYJxYo0vaMYdj7Y3CiiNRu4UFasId1sVR_wOAyTu2m330RDVBtTxC6Y9QFY_usfGFw70znhNp7OjJ6cGzctnf184jC4oUNIfmYFdGaX_RRmGpETw-lmprI2Njyn_PVKa44jIRhUg6ZAEcJEHngBPtV54T3QPIUEUw8nRE0ebfrA&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ2lnYXByb21vLmNvLnVrJTJmJTNmcSUzZHByb2dyYW1tYmxlJTI1MjBsb2dpYyUyNTIwY29udHJvbGxlciUyNmFzaWQlM2RnaWdhX3VrX2JhX2djMV8wMiUyNmRlJTNkYyUyNmFjJTNkNDI2NCUyNmNpZCUzZDM4NTA2ODUyMiUyNmFpZCUzZDExNjY1ODIyOTMyOTU0ODMlMjZraWQlM2Rrd2QtNzI5MTE3NjE3ODk5ODQlM2Fsb2MtMTg4JTI2bG9jYWxlJTNkZW5fR0IlMjZtc2Nsa2lkJTNkOWNjZmVmNzdhNWQ4MTMwYzMzMGI4ZjVkY2JiMzlmYzM&rlid=9ccfef77a5d8130c330b8f5dcbb39fc3/RK=2/RS=8zxsS0V1t9d1FY6shsohKvOHxws-;_ylc=cnQDMQ--?IG=481e25a354664f8e8400000000a234a3		London	Finance,Insurance	Worker (A rating),Worker (A rating)	Intra-company Routes,Skilled Worker	15/02/2021
3Keel LLP	https://www.3keel.com/		Oxford	Others	Worker (A rating)	Skilled Worker	15/02/2021
3KOBROS LIMITED	https://www.3kobros.com/		LONDON	Food & Accomodation	Worker (A rating)	Skilled Worker	15/11/2019
3K's Engineering Company Limited	https://www.3ksengineering.com/		Llanelli	Manufacturing	Worker (A rating)	Skilled Worker	11/10/2021
3M United Kingdom PLC	https://www.3m.co.uk/3M/en_GB/company-uk/about-3m/		Bracknell	Others	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	04/08/2013
3MS MUSIC LTD	https://3msmusic.com/contact-us/		ST ALBANS	Video or Music Production	Temporary Worker (A rating)	Creative & Sporting	22/02/2018
3P Learning Limited	https://www.3plearning.com/		Bristol	Software Publishing	Worker (A rating)	Skilled Worker	15/11/2019
3R Technology UK Ltd	https://www.dnb.com/business-directory/company-profiles.3r_technology_uk_limited.368189759a779c2560930269ce7f56a9.html		Preston	Water,Waste management	Worker (A rating)	Skilled Worker	15/10/2021
3RDi Limited	https://www.companysearchesmadesimple.com/company/uk/11080079/3rdi-limited/		London	Computer Programming	Worker (A rating)	Skilled Worker	25/03/2021
3S Knowledge Limited	https://www.kompany.co.uk/p/uk/11506707		Warwick	Scientific Research	Worker (A rating)	Skilled Worker	30/12/2020
3S Money Club Limited	https://www.gbrbusiness.com/company/Finrobot-Limited		London	Computer Programming	Worker (A rating)	Skilled Worker	28/11/2019
3Search Limited	https://www.3search.co.uk/		London	Recruitment	Worker (A rating)	Skilled Worker	07/05/2020
3T Logistics Limited	http://www.3t-europe.com/		Leicester	Others	Worker (A rating)	Skilled Worker	28/01/2019
3ti Energy Hubs Ltd	https://3ti.co.uk/		LEATHERHEAD	Manufacturing	Worker (A rating)	Skilled Worker	28/07/2021
3V Consultants Limited	https://www.3vconsultancy.com/		Solihull	Manufacturing	Worker (A rating)	Skilled Worker	30/04/2020
4 Roads Ltd	https://www.4-roads.com/		Kenilworth	Computer Programming	Worker (A rating)	Skilled Worker	19/09/2013
42 Acres Ltd	https://42acresshoreditch.com/		London	Construction	Worker (A rating)	Skilled Worker	25/11/2017
42Gears Mobility Systems (UK) Ltd	https://www.42gears.com/press-releases/42gears-enters-uk-sets-office-manchester/		Manchester	Computer Programming	Worker (A rating)	Intra-company Routes	17/06/2019
45R-LD LIMITED	https://www.firstreport.co.uk/Company/10644956/45R-LD-LIMITED		London	Wholesale & Retail	Worker (A rating)	Intra-company Routes	16/07/2018
4AS Limited	https://directory.mirror.co.uk/company/437812359090176		Warwickshire	Computer Programming	Worker (A rating)	Skilled Worker	31/07/2018
4BIO Ventures Management Limited	https://www.4biocapital.com/		London	Scientific Research	Worker (A rating)	Skilled Worker	20/02/2018
4C Associates Ltd	https://www.4cassociates.com/		London	Management	Worker (A rating)	Skilled Worker	28/05/2015
4C Hotels Victoria LLP	https://r.search.yahoo.com/cbclk2/dWU9QjM5NEEwRjZCMDBFNEI1MSZ1dD0xNjIxODgwMTM4MDc2JnVvPTgwMTI3MDI3NTUxNTA4Jmx0PTImcz0xJmVzPU44OWl4WGtHUFM5ZlFOZjduZVVHdUNuMXhYdHRqVlZyMUdqN2RMMlg-/RV=2/RE=1621908938/RO=10/RU=https://www.bing.com/aclick?ld=e87tAkFyz9W12DeP-aBy8EzTVUCUx-nO0M4LNT8AGlx5z0DkxwycDTweLbZdd_d6ajlPv_LeClbGVNFV-JdxBR1dvUvqCJRuV7YDQ93iqeYPziZINvK1qGk2P-SQ2AxtXLFgN_U26lC8jFZMlIUTYO93grvw_YniHCJbogCxkbFNDkLZdXMObnYdfIQdjdM5vMtshqQg&u=aHR0cCUzYSUyZiUyZnd3dy5ib29raW5nLmNvbSUyZmxhbmRtYXJrJTJmZ2IlMmZ2aWN0b3JpYS1zdGF0aW9uLmVuLmh0bWwlM2ZhaWQlM2QzMTg3NTklMjZsYWJlbCUzZG1zbi1RTnE5d3JWUGVLU2dUXzUxZTJITnRRLTgwMTI3MDI3NTUxNTA4JTNhdGlrd2QtODAxMjcxNTE2NjEwODclM2Fsb2MtMTg4JTNhbmVvJTNhbXRiJTNhZGVjJTNhcXM0QyUyNTIwSG90ZWxzJTI1MjBWaWN0b3JpYSUyNTIwTExQJTJjTG9uZG9uJTI2dXRtX2NhbXBhaWduJTNkTGFuZG1hcmslMjUyMC0lMjUyMFVuaXRlZCUyNTIwS2luZ2RvbS1lQ1BDJTI1MjAlMjUyMzMlMjUyMEV4cGVyaW1lbnQlMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fdGVybSUzZFFOcTl3clZQZUtTZ1RfNTFlMkhOdFElMjZtc2Nsa2lkJTNkODY2ZDc0YjZhMWExMTRiOTIwNTQxNDFkNGNlYmFmYjE&rlid=866d74b6a1a114b92054141d4cebafb1/RK=2/RS=yySj7mw3msJjnZaYZrCmV6zPUhM-;_ylc=cnQDMQ--?IG=481e288cb30d459ab1000000003f0d47		London	Others	Worker (A rating)	Skilled Worker	24/05/2021
4C Offshore Limited	https://www.4coffshore.com/		Lowestoft	Others	Worker (A rating)	Skilled Worker	12/11/2018
4D Pharma Research Ltd	https://www.4dpharmaplc.com/en/our-company/management-team		Aberdeen	Scientific Research	Worker (A rating)	Skilled Worker	08/05/2015
4Fashions Ltd	http://www.checkcompany.co.uk/company/08557318/4FASHIONS-LTD		Manchester	Wholesale & Retail	Worker (A rating)	Skilled Worker	06/04/2017
4M LONDON LIMITED	https://www.4mgroup.co.uk/		LONDON	Wholesale & Retail	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	26/02/2020
4MA LIMITED	http://www.4mgroup.co.uk/		LONDON	Architecture	Worker (A rating)	Skilled Worker	29/11/2013
4most Europe Limited	https://www.4-most.co.uk/		London	Administrative and support	Worker (A rating)	Skilled Worker	04/03/2017
4M-TESTING LTD	https://findajob.dwp.gov.uk/details/4809715		Leeds	Computer Programming	Worker (A rating)	Skilled Worker	18/09/2020
4POLO Ltd	https://www.redfin.com/IL/South-Barrington/4-Polo-Dr-60010/home/13902849		Kirlington	Arts ,Entertainment	Temporary Worker (A rating)	Creative & Sporting 1R0RQJXN7	21/06/2021
4PS Construction Solutions Limited	https://www.4ps.co.uk/contact		Birmingham	Computer Programming	Worker (A rating)	Skilled Worker	08/05/2019
5 Dimensions Trust	https://www.5dimensionstrust.com/		Milton Keynes	Education	Worker (A rating)	Skilled Worker	06/08/2020
5 E Ltd	https://www.fivee.co.uk/		London	Education	Worker (A rating)	Skilled Worker	04/08/2013
5 Hertford Street	https://www.glitterandmud.com/eat-drink/5-hertford-street-london/		London	Administrative and support	Worker (A rating)	Skilled Worker	28/07/2021
5 S Family Limited T/A New Haweli	https://www.tripadvisor.co.uk/Restaurant_Review-g1984857-d3303416-Reviews-New_Haweli-West_Byfleet_Surrey_England.html		West Byfleet	Others	Worker (A rating)	Skilled Worker	02/11/2020
5 Star Fruit and Veg London Ltd	https://www.5starfruitandveg.com/		Ilford	Wholesale & Retail	Worker (A rating)	Skilled Worker	28/07/2021
500 Degrees Herne Hill Ltd	https://500degrees.co/		London	Food & Accomodation	Worker (A rating)	Skilled Worker	24/09/2021
51 CARGO SERVICES LIMITED	https://opencorpdata.com/uk/07150621		MANCHESTER	Others	Worker (A rating)	Skilled Worker	08/10/2020
515 Capital Limited	https://www.reed.co.uk/jobs/515-capital-limited/o547940		London	Others	Worker (A rating)	Skilled Worker	03/05/2014
51parcel LTD	https://r.search.yahoo.com/cbclk2/dWU9QTdCNjZDNEU5OTU0NEEwOSZ1dD0xNjIzMjYyNTE5MjgwJnVvPTg1MjgxMTU4NDc5NDY5Jmx0PTImcz0xJmVzPUlhX1k0bWdHUFM5SnBMbHFrSzI1M1IyeTdfWWMwamk1QUVaRG5Za3M-/RV=2/RE=1623291319/RO=10/RU=https://www.bing.com/aclick?ld=e8H2SH8yp0U4bxCYcj2qREhDVUCUwDqjoQP7qooRQLxUqnunfC7c2VoC4YpgBOi_KXQ7AwKoob2KBgL0XSJnb8eSFb9uot77122YDcg6m8AeMFtC9i63wMHj5pcO7F0AR1bbwo3H-3f0OY_LUAxZSTA-qFoifwb3_02WfF9q3LBsTE5CtnY0XUH9iiupV86RKp8LYEwQ&u=aHR0cHMlM2ElMmYlMmZ1ay5zZWVrd2ViLmNvbSUyZndzJTNmcSUzZGJyYWNlcyUyNTIwYmlybWluZ2hhbSUyNTIwdWslMjZhc2lkJTNkc3dfdWtfbWNfYmFfMDUlMjZkZSUzZGMlMjZhYyUzZDE1MDYwJTI2Y2lkJTNkNDEzMDI3NDQxJTI2YWlkJTNkMTM2NDQ5NDc0NzQ4NDUxMSUyNmtpZCUzZGt3ZC04NTI4MTMzNzAyMjc2MCUzYWxvYy0xODglMjZsb2NhbGUlM2Rlbl9HQiUyNm1zY2xraWQlM2QzZmNkZTM4ZmE4ZDcxYjAwYjcyMDgzNGVhZGUwOTA3NQ&rlid=3fcde38fa8d71b00b720834eade09075/RK=2/RS=oDhRYPYvQWgVR.VRwakn1djjBbg-;_ylc=cnQDMQ--?IG=628b7d2c7d334db49a0000000066a32a		Birmingham	Transportation & Storage	Worker (A rating)	Skilled Worker RFN7GJ8C8	09/06/2021
54 Capital Ltd	http://54capital.com/		London	Administrative and support	Worker (A rating)	Skilled Worker	16/06/2017
54 Queens Gate Hotel Limited	https://r.search.yahoo.com/cbclk2/dWU9MkQzM0Q4QTVBRThDNEI3RiZ1dD0xNjI3NTM3MzYzMjEzJnVvPTcyOTExNTY1MjI0OTI2Jmx0PTImcz0xJmVzPWxuUHBQUUlHUFNfR2J1WTU0aTB2V0lEY3NjUDdJTVZBX2d0NGZUYmhRSXMt/RV=2/RE=1627566163/RO=10/RU=https://www.bing.com/aclick?ld=e8-YH8DoHQ4Vf3IgJ8Mb7OLzVUCUwXk49KSnOGcspTFqAVXsJqaaYWLWT-EPIklqwUoac1ATaE8E16u_aSySCqlYrwhTwrFzRS0zVEuwAvqzNPWAcLQ8W8T0cXTDqXcu506SiWs8VX2ohQODLpLOCe4e75z7C4s3patA8-LmgF9j7TtAXxhELge2lOOF56OCW9dg_9JQ&u=aHR0cCUzYSUyZiUyZnd3dy50aGVxdWVlbnNnYXRlaG90ZWwuY29tJTJmJTNmbXNjbGtpZCUzZGRjZjI2OGZhZWZiODE5ZjE3ZjBlMDlmOGQwNmI5MDhmJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkMjAxNSUyNTIwVUslMjUyMEJyYW5kJTI2dXRtX3Rlcm0lM2RxdWVlbnMlMjUyMGdhdGUlMjUyMGhvdGVsJTI1MjBsb25kb24lMjZ1dG1fY29udGVudCUzZEJyYW5k&rlid=dcf268faefb819f17f0e09f8d06b908f/RK=2/RS=1qTC4Koh6ftyehOEcImSNSABkdQ-;_ylc=cnQDMQ--?IG=0ac4d71a14dd45a99100000000145240		London	Food & Accomodation	Worker (A rating)	Intra-company Routes	28/07/2021
5654 & Company Limited	https://r.search.yahoo.com/cbclk2/dWU9Rjk3QkEzMUY1MTkyNDBBMCZ1dD0xNjI3NTM3MzY2MjUzJnVvPTgwMTI3MDEwNjQ3MjY2Jmx0PTImcz0xJmVzPUlJRXVXeklHUFM5WkNPcWRTaHVwS0ZGZEkwbmJBSHU0ZEdKdTIwQWpyUS0t/RV=2/RE=1627566166/RO=10/RU=https://www.bing.com/aclick?ld=e8RM6Ke8w4Vb8FZAMF0V3P5DVUCUzjNmuUGTQIxD5dDxAjQ3M_8a3ySdUmMubcrDAmGxLtJ7X6FlBaDPHLucj9x--FQSbz1HxvQlIt4lgi0PEsxVvytEMkTPFdt-q10V60tutalqUqK419en71Z6s-XDwA_lj3tENK9h3q4ThH0gpeJFOlv6ryUTx6I5uoyeE81Khbkg&u=aHR0cHMlM2ElMmYlMmZ3d3cuYWR2aXNlbWUuY28udWslMmZleHBlcnQtZmluYW5jaWFsLWFkdmlzZXJzJTJmJTNmbG9jYXRpb24lM2RoaWdoYW0lMjUyMGZlcnJlcnMlMjZrZXl3b3JkJTNkJTI1MkJpZmElMjUyMCUyNTJCaGlnaGFtJTI1MjAlMjUyQmZlcnJlcnMlMjZtYXRjaHR5cGUlM2RwJTI2bmV0d29yayUzZG8lMjZjYW1wYWlnbiUzZFJlZ2lvbiUyNTIwLSUyNTIwRmluYW5jaWFsJTI1MjBBZHZpY2UlMjUyMC0lMjUyME1pZGxhbmRzJTI1MjAtJTI1MjBCTU0lMjZkZXZpY2UlM2RjJTI2bG9jYXRpb24lM2QxMzM2MDElMjZjcmVhdGl2ZSUzZCUyNmNhbXBhaWduaWQlM2QzNjc0MjUzOTMlMjZhZGdyb3VwaWQlM2QxMjgyMDMwODczMjUwMzcyJTI2YWRwb3NpdGlvbiUzZCUyNnNvdXJjZSUzZEJpbmclMjUyMFBhaWQlMjZtc2Nsa2lkJTNkYjExNGY2NTM1NGJkMWMxZTEzMjk5NzUxNmI2YjNhYzglMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2RSZWdpb24lMjUyMC0lMjUyMEZpbmFuY2lhbCUyNTIwQWR2aWNlJTI1MjAtJTI1MjBNaWRsYW5kcyUyNTIwLSUyNTIwQk1NJTI2dXRtX3Rlcm0lM2QlMjUyQmlmYSUyNTIwJTI1MkJoaWdoYW0lMjUyMCUyNTJCZmVycmVycyUyNnV0bV9jb250ZW50JTNkUmVnaW9uJTI1MjAtJTI1MjBJRkElMjUyMC0lMjUyMEhpZ2hhbSUyNTIwRmVycmVycyUyNTIwLSUyNTIwTk4lMjUyMC0lMjUyMEJNTQ&rlid=b114f65354bd1c1e132997516b6b3ac8/RK=2/RS=IeSevjqknrtS8JeOOskSJmhzSkk-;_ylc=cnQDMQ--?IG=0ac9eb2991634f479d0000000002cc8f		Higham Ferrers	Management	Worker (A rating)	Skilled Worker	28/07/2021
